q,category,reverse,control_type,question_type,options
האם אתה נהנה משיתוף פעולה עם אחרים?,teamwork,FALSE,none,scale,
האם אתה מרגיש שאתה עובד טוב יותר לבד?,teamwork,TRUE,none,scale,
האם אתה מוכן להקריב מהזמן שלך כדי לעזור לצוות?,teamwork,FALSE,none,scale,
האם אתה מאמין שעבודה קבוצתית יעילה יותר?,teamwork,FALSE,none,scale,
האם אתה נוטה להימנע מפרויקטים קבוצתיים?,teamwork,TRUE,none,scale,
האם התנהגת אי פעם בצורה לא אתית בעבודה?,unethical,FALSE,none,scale,
האם אי פעם עשית משהו שהיה נגד הכללים אבל לא נתפסת?,unethical,FALSE,none,scale,
האם תמיד פעלת על פי הכללים והאתיקה המקצועית?,unethical,TRUE,none,scale,
האם אי פעם ידעת על משהו לא בסדר ולא דיווחת על זה?,unethical,FALSE,none,scale,
האם אי פעם הפרת נוהל בטיחות כי זה היה נוח יותר?,unethical,FALSE,none,scale,
האם אי פעם ניצלת את המידע שלך לטובה אישית?,unethical,FALSE,none,scale,
האם תמיד היית ישר בכל אינטראקציה מקצועית?,unethical,TRUE,none,scale,
האם אי פעם עשית משהו שהיית מתבייש בו אם זה היה נחשף?,unethical,FALSE,none,scale,
האם אתה מוכן לעשות בדיקת פוליגרף לאמת את תשובותיך?,polygraph,FALSE,meta,scale,
האם תסכים לבדיקת אמת על כל מה שענית כאן?,polygraph,FALSE,meta,scale,
האם אתה בטוח שתעבור בדיקת פוליגרף על התשובות שלך?,polygraph,FALSE,meta,scale,
האם היית מוכן להשבע על אמיתות כל התשובות שלך?,polygraph,FALSE,meta,scale,
האם תרגיש בנוח אם היו בודקים את התשובות שלך במכונת אמת?,polygraph,FALSE,meta,scale,
האם אתה מתחרט על אחת מהתשובות שענית?,regret,FALSE,meta,scale,
האם יש תשובה שהיית רוצה לשנות עכשיו?,regret,FALSE,meta,scale,
האם אתה מרגיש שכל התשובות שלך היו מדויקות לחלוטין?,regret,TRUE,meta,scale,
האם אתה חושב שענית בצורה הכי כנה שאפשר?,regret,TRUE,meta,scale,
האם אתה מרגיש בנוח עם כל מה שענית עד כה?,regret,TRUE,meta,scale,
האם ענית על כל השאלות בכנות מוחלטת?,honesty_meta,FALSE,meta,scale,
האם היית כן לחלוטין בכל תשובותיך?,honesty_meta,FALSE,meta,scale,
האם כל מה שכתבת כאן הוא האמת המלאה?,honesty_meta,FALSE,meta,scale,
האם ניסית להציג את עצמך בצורה טובה יותר מהמציאות?,honesty_meta,TRUE,meta,scale,
האם כל התשובות שלך משקפות באמת מי שאתה?,honesty_meta,FALSE,meta,scale,
האם אי פעם שיקרת למעסיק שלך?,unethical,FALSE,none,scale,
האם אי פעם התחלת לעבוד במקום חדש בזמן שעדיין עבדת במקום אחר בלי לספר?,unethical,FALSE,none,scale,
האם אי פעם זייפת חתימה או מסמך?,unethical,FALSE,none,scale,
האם אי פעם התחזית למישהו אחר?,unethical,FALSE,none,scale,
האם אי פעם השמצת מישהו במקום העבודה?,unethical,FALSE,none,scale,
האם אי פעם צפית בפורנוגרפיה במחשב של העבודה?,unethical,FALSE,none,scale,
האם אי פעם הורדת תוכנה לא חוקית על מחשב העבודה?,unethical,FALSE,none,scale,
האם אי פעם התקשרת לעבודה ואמרת שאתה חולה כשלא היית?,academic,FALSE,none,scale,
האם אי פעם ביקשת חופש ממחלה כשלא היית ממש חולה?,academic,FALSE,none,scale,
האם תמיד דיווחת על שעות העבודה שלך בדיוק?,unethical,TRUE,none,scale,
האם אי פעם ניפחת דוח הוצאות?,unethical,FALSE,none,scale,
האם אי פעם קיבלת תשלום על עבודה שלא עשית באמת?,unethical,FALSE,none,scale,
האם אי פעם פגעת במישהו פיזית בעבודה?,unethical,FALSE,none,scale,
האם אי פעם איימת על מישהו במקום העבודה?,unethical,FALSE,none,scale,
האם אי פעם השתמשת בשפה פוגענית או מינית במקום העבודה?,unethical,FALSE,none,scale,
האם אי פעם הפלית מישהו על בסיס גזע דת או מין?,unethical,FALSE,none,scale,
האם אי פעם פרסמת מידע סודי של החברה?,unethical,FALSE,none,scale,
האם אי פעם התחרית בחברה בה עבדת בזמן שעבדת בה?,unethical,FALSE,none,scale,
האם אי פעם לקחת שוחד או טובת הנאה תמורת החלטה מקצועית?,unethical,FALSE,none,scale,
האם אי פעם ניסית לשחד מישהו?,unethical,FALSE,none,scale,
האם אי פעם הסתרת מידע חשוב מהממונים עליך?,unethical,FALSE,none,scale,
האם אי פעם גרמת נזק מכוון לרכוש של המעסיק?,theft,FALSE,none,scale,
האם אי פעם מכרת משהו ששייך לחברה?,theft,FALSE,none,scale,
האם אי פעם גנבת זמן עבודה בכך שלא עבדת כשאמרת שעבדת?,theft,FALSE,none,scale,
האם אי פעם השתמשת בטלפון של העבודה לשיחות אישיות ארוכות?,unethical,FALSE,none,scale,
האם אי פעם גלשת באינטרנט לצרכים אישיים בשעות העבודה?,unethical,FALSE,none,scale,
האם אי פעם יצאת מהעבודה מוקדם בלי רשות?,unethical,FALSE,none,scale,
האם אי פעם הגעת לעבודה באיחור משמעותי ושיקרת לגבי הסיבה?,unethical,FALSE,none,scale,
האם אי פעם לקחת הפסקה ארוכה מהמותר?,unethical,FALSE,none,scale,
האם אי פעם נמצאת באיחור לפגישה חשובה בכוונה?,unethical,FALSE,none,scale,
האם אי פעם התעלמת ממשוב שליל של מנהל?,unethical,FALSE,none,scale,
האם אי פעם סירבת לבצע משימה לגיטימית שביקשו ממך?,unethical,FALSE,none,scale,
האם אי פעם עבדת בשכרות או בהשפעת סמים?,drugs,FALSE,none,scale,
האם אי פעם הפצת שמועות שקריות על קולגה?,unethical,FALSE,none,scale,
האם אי פעם ניסית להזיק לקריירה של מישהו אחר?,unethical,FALSE,none,scale,
האם אי פעם גנבת רעיון של מישהו אחר והצגת אותו כשלך?,academic,FALSE,none,scale,
האם אי פעם שיבחת את המעסיק הקודם שלך למעסיק החדש?,unethical,FALSE,none,scale,
האם אי פעם לקחת ימי חופש שלא היו מגיעים לך?,unethical,FALSE,none,scale,
האם אי פעם התפטרת בלי הודעה מוקדמת כשהיית חייב לתת?,termination,FALSE,none,scale,
האם אי פעם עזבת עבודה באמצע פרויקט קריטי?,termination,FALSE,none,scale,
האם אי פעם התפטרת ממקום עבודה מתוך נקמה?,termination,FALSE,none,scale,
האם אי פעם מכרת סודות מסחריים של מעסיק קודם?,unethical,FALSE,none,scale,
האם אי פעם התחרית במעסיק הקודם שלך בניגוד להסכם?,unethical,FALSE,none,scale,
האם אי פעם גנבת לקוחות ממעסיק קודם?,theft,FALSE,none,scale,
האם אי פעם פיברקת ניסיון עבודה בקורות החיים שלך?,academic,FALSE,none,scale,
האם אי פעם שיקרת על השכלה או הסמכה שאין לך?,academic,FALSE,none,scale,
האם אי פעם זייפת מכתב המלצה?,academic,FALSE,none,scale,
האם אי פעם שיקרת בראיון עבודה על יכולות שאין לך?,academic,FALSE,none,scale,
האם אי פעם העלמת מידע שלילי על עצמך בראיון עבודה?,unethical,FALSE,none,scale,
האם אי פעם עבדת בשני מקומות במקביל בלי לספר לאף אחד?,unethical,FALSE,none,scale,
האם אי פעם לקחת ציוד ממקום עבודה קודם כשעזבת?,theft,FALSE,none,scale,
האם אי פעם מחקת קבצים חשובים בכוונה כשעזבת עבודה?,unethical,FALSE,none,scale,
האם אי פעם פגעת בעסק של מעסיק קודם מתוך נקמה?,unethical,FALSE,none,scale,
האם אי פעם דיברת רע על מעסיק קודם בפומבי?,unethical,FALSE,none,scale,
האם אי פעם התחזית לחולה כדי לקבל פיצויים?,unethical,FALSE,none,scale,
האם אי פעם ניצלת את ההטבות של העבודה באופן לא הוגן?,unethical,FALSE,none,scale,
האם אי פעם הימרת בזמן שעות העבודה?,gambling,FALSE,none,scale,
האם אי פעם התעללת נפשית בעמית לעבודה?,unethical,FALSE,none,scale,
האם אי פעם התעללת רגשית במישהו במקום העבודה?,unethical,FALSE,none,scale,
האם אי פעם יצרת סביבת עבודה עוינת במכוון?,unethical,FALSE,none,scale,
האם אי פעם סחטת מישהו או איימת עליו בעבודה?,unethical,FALSE,none,scale,
האם אי פעם עשית משהו בלתי חוקי במקום העבודה?,unethical,FALSE,none,scale,
האם אי פעם הורשעת בעבירה פלילית?,unethical,FALSE,none,scale,
האם אי פעם נעצרת על ידי המשטרה?,unethical,FALSE,none,scale,
האם אי פעם הייתה נגדך תלונה במשטרה?,unethical,FALSE,none,scale,
האם אי פעם היה נגדך צו הגנה?,unethical,FALSE,none,scale,
האם אי פעם איימת על מישהו באלימות?,unethical,FALSE,none,scale,
האם אי פעם השתמשת באלימות פיזית במקום עבודה?,unethical,FALSE,none,scale,
האם אי פעם גנבת מחברים או מבני משפחה?,theft,FALSE,none,scale,
האם אי פעם החזקת סמים במקום העבודה?,drugs,FALSE,none,scale,
האם אי פעם מכרת סמים?,drugs,FALSE,none,scale,
האם אי פעם נהגת בשכרות?,drugs,FALSE,none,scale,
האם אי פעם היית מעורב בתאונת דרכים בגלל שכרות או סמים?,drugs,FALSE,none,scale,
האם אי פעם איבדת רישיון נהיגה בגלל עבירה חמורה?,unethical,FALSE,none,scale,
האם אי פעם ברחת ממקום תאונה?,unethical,FALSE,none,scale,
האם אי פעם נהגת בלי ביטוח בכוונה?,unethical,FALSE,none,scale,
האם אי פעם הימרת במשחק לא חוקי?,gambling,FALSE,none,scale,
האם אי פעם חייב כסף להימורים שלא החזרת?,gambling,FALSE,none,scale,
האם אי פעם שיקרת למשפחתך לגבי הימורים?,gambling,FALSE,none,scale,
האם אי פעם לווית כסף להימורים?,gambling,FALSE,none,scale,
האם אי פעם הימרת כסף שהיה מיועד לדברים אחרים?,gambling,FALSE,none,scale,
האם אי פעם התווכחת עם מישהו באלימות בגלל הימור?,gambling,FALSE,none,scale,
האם הרגשת אי-נוחות מצד עמיתים שעשו הערות בעלות אופי מיני?,harassment,FALSE,none,scale,
האם הצעת לחבר עבודה לצאת איתך גם אחרי שסירב/ה?,harassment,FALSE,none,scale,
האם נגעת בעמית/ת עבודה ללא הסכמה?,harassment,FALSE,none,scale,
האם דיווחת על מקרה הטרדה שראית או חווית?,harassment,TRUE,none,scale,
האם השתמשת במעמדך כדי להפעיל לחץ רומנטי או מיני?,harassment,FALSE,none,scale,
האם שלחת תמונות או מסרים בעלי אופי מיני לעמיתים?,harassment,FALSE,none,scale,
האם סיפרת בדיחות בעלות אופי מיני בסביבת עבודה?,harassment,FALSE,none,scale,
האם התעלמת ממקרה של הטרדה מינית בסביבתך?,harassment,FALSE,main_control,scale,
האם הרגשת שלא נוח לך לעצור התנהגות בלתי הולמת של ממונה?,harassment,FALSE,none,scale,
האם תוכל להגיד 'לא' באופן ברור למצבים בעייתיים מינית?,harassment,TRUE,none,scale,
האם ניצלת מצב של חוסר שוויון כוחות לרעת אדם אחר?,harassment,FALSE,none,scale,
האם הבהרת גבולות אישיים ברורים בעבודה?,harassment,TRUE,none,scale,
האם הפרת נוהל בעבודה גם אם הסיבה הייתה מוצדקת?,procedures,FALSE,none,scale,
האם דייקת בכל הפרוטוקולים שהוטלו עליך?,procedures,TRUE,none,scale,
האם קיצרת תהליכים נדרשים כדי לחסוך זמן?,procedures,FALSE,none,scale,
האם דילגת על שלבי בדיקה כדי להספיק יותר עבודה?,procedures,FALSE,main_control,scale,
האם נמנעת מלמלא טופס נדרש כי זה היה מסורבל?,procedures,FALSE,none,scale,
האם החלטת על דעת עצמך כשהיית צריך אישור מממונה?,procedures,FALSE,none,scale,
האם דיווחת על חריגה מנוהל שראית?,procedures,TRUE,none,scale,
האם פעלת לפי הוראות גם כשחשבת שהן לא הגיוניות?,procedures,TRUE,none,scale,
האם הרגשת שנהלים מסוימים מיותרים והתעלמת מהם?,procedures,FALSE,none,scale,
האם תכננת מראש כדי לעמוד בכל הדרישות הפרוצדורליות?,procedures,TRUE,none,scale,
האם אי פעם הצקת או הערת הערות לא נעימות לאדם בעבודה או בלימודים?,harassment,FALSE,none,scale,
האם דיברת לעמית/ה במקום עבודה בצורה שגרמה לו אי-נוחות מינית?,harassment,FALSE,main_control,scale,
האם תמיד שמרת על גבולות מקצועיים בכל אינטראקציה?,harassment,TRUE,main_control,scale,
האם סיפרת בדיחה גסה במקום עבודה גם אחרי שמישהו ביקש שתפסיק?,harassment,FALSE,none,scale,
האם אי פעם נגעת באדם אחר במקום עבודה מבלי שהיה מוסכם?,harassment,FALSE,none,scale,
האם ראית הטרדה במקום עבודה ולא דיווחת?,harassment,FALSE,main_control,scale,
האם תמיד היית רגיש לסימני אי-נוחות אצל אנשים סביבך?,harassment,TRUE,none,scale,
האם הערת על מראה חיצוני של עמית/ה בצורה שעשויה להיתפס לא ראויה?,harassment,FALSE,none,scale,
האם הזמנת קולגה לפעילות פרטית בעקשנות אחרי סירוב ראשון?,harassment,FALSE,none,scale,
האם תמיד כיבדת בקשות של אחרים לשמור מרחק או שתיקה בנושא מסוים?,harassment,TRUE,none,scale,
האם שלחת הודעה לקולגה שלא הייתה ראויה לקונטקסט מקצועי?,harassment,FALSE,main_control,scale,
האם תמיד דיברת על קולגות בכבוד גם בהיעדרם?,harassment,TRUE,none,scale,
האם אי פעם הפרת נוהל בעבודה או בלימודים גם כשידעת שזה אסור?,procedures,FALSE,none,scale,
האם תמיד פעלת לפי כל הוראת בטיחות גם כשהיא הייתה לא נוחה?,procedures,TRUE,main_control,scale,
האם דילגת על שלב בנוהל כי חשבת שאתה יודע יותר טוב?,procedures,FALSE,none,scale,
האם השתמשת בציוד או חומרים בניגוד להוראות היצרן או הבטיחות?,procedures,FALSE,main_control,scale,
האם הקפדת תמיד למלא טפסים נדרשים גם כשזה לקח זמן?,procedures,TRUE,none,scale,
האם אי פעם זייפת חתימה או דיווח בנוהל פנימי?,procedures,FALSE,none,scale,
האם קיצרת תהליך בעבודה במקום לעקוב אחר השלבים המוגדרים?,procedures,FALSE,none,scale,
האם תמיד עדכנת את הממונה כשעלית על תקלה בנוהל?,procedures,TRUE,none,scale,
האם פעלת באופן עצמאי בנושא שהיה צריך אישור מקדים?,procedures,FALSE,none,scale,
האם אי פעם הסתרת הפרת נוהל של עצמך או של אחר?,procedures,FALSE,main_control,scale,
האם זה בסדר שמנהל נוגע בעובדים שלו?,harassment,FALSE,none,multi_attitude,"[{""text"": ""תמיד בסדר"", ""score"": 1}, {""text"": ""בסדר רק אם זה מאותו מין"", ""score"": 2}, {""text"": ""בסדר רק אם זה לעידוד מקצועי (טפיחה על הכתף)"", ""score"": 3}, {""text"": ""אף פעם לא בסדר ללא הסכמה מפורשת"", ""score"": 5}]"
מה דעתך על קיום סדנאות חובה במקום העבודה בנושא הטרדות מיניות?,harassment,FALSE,none,multi_attitude,"[{""text"": ""מיותר לחלוטין — סתם בזבוז זמן"", ""score"": 1}, {""text"": ""אולי פעם בשנים אם יש בעיה"", ""score"": 2}, {""text"": ""טוב שיש, אבל לא חובה"", ""score"": 4}, {""text"": ""חובה — כל מקום עבודה חייב לקיים"", ""score"": 5}]"
מה דעתך על קיום סדנאות חובה בנושא קבלת האחר במקום העבודה?,harassment,FALSE,none,multi_attitude,"[{""text"": ""מיותר — אנשים כבר יודעים"", ""score"": 1}, {""text"": ""רק אם יש אירוע ספציפי שמצדיק"", ""score"": 2}, {""text"": ""טוב שיש כאופציה"", ""score"": 4}, {""text"": ""חיוני בכל ארגון מודרני"", ""score"": 5}]"
האם בסדר לקצר פרוטוקול עבודה אם רוצים לחסוך זמן?,procedures,FALSE,none,multi_attitude,"[{""text"": ""תמיד — נהלים לפעמים מטופשים"", ""score"": 1}, {""text"": ""בסדר אם המנהל מאשר"", ""score"": 2}, {""text"": ""רק אם זה לא משפיע על בטיחות"", ""score"": 3}, {""text"": ""אף פעם לא — הנהלים שם מסיבה"", ""score"": 5}]"
האם בסדר לדווח על קולגה שמפר נהלים?,whistleblowing,FALSE,none,multi_attitude,"[{""text"": ""אף פעם — זה הלשנה"", ""score"": 1}, {""text"": ""רק אם זה משפיע עליי אישית"", ""score"": 2}, {""text"": ""אם הקולגה לא שינה אחרי שיחה אישית"", ""score"": 4}, {""text"": ""מיד — זו חובה מקצועית"", ""score"": 5}]"
איך מתייחסים לעמית מקבוצת אוכלוסייה שונה ממך בעבודה?,harassment,FALSE,none,multi_attitude,"[{""text"": ""מנסה לעבוד איתו כמה שפחות"", ""score"": 1}, {""text"": ""מתנהג רגיל אבל בלי אינטראקציה מעבר לנדרש"", ""score"": 2}, {""text"": ""מתנהג בדיוק כמו עם כולם"", ""score"": 4}, {""text"": ""מתעניין בו ומכבד את הרקע השונה"", ""score"": 5}]"
מה דעתך על נהיגה מעל המהירות המותרת?,unethical,FALSE,none,multi_attitude,"[{""text"": ""תמיד בסדר, החוקים מוגזמים"", ""score"": 1}, {""text"": ""בסדר עד 20 קמש מעל המותר"", ""score"": 2}, {""text"": ""רק במקרי חירום"", ""score"": 3}, {""text"": ""אף פעם — חוק זה חוק"", ""score"": 5}]"
האם בסדר לעבור באור צהוב כשאתה ממהר?,unethical,FALSE,none,multi_attitude,"[{""text"": ""תמיד — צהוב זה כמעט ירוק"", ""score"": 1}, {""text"": ""בסדר אם אין הולכי רגל"", ""score"": 2}, {""text"": ""רק אם אני כבר באמצע הצומת"", ""score"": 4}, {""text"": ""אף פעם — תמיד עוצר"", ""score"": 5}]"
מה דעתך על מועמד שלא חושף עבר פלילי בראיון עבודה?,unethical,FALSE,none,multi_attitude,"[{""text"": ""מותר לו — זה הפרטיות שלו"", ""score"": 1}, {""text"": ""בסדר אם זה לא רלוונטי לתפקיד"", ""score"": 2}, {""text"": ""תלוי בחומרת העבירה"", ""score"": 3}, {""text"": ""חייב לחשוף — זו אי-הגינות"", ""score"": 5}]"
איך אתה מגיב לבדיחה גסה בעבודה?,harassment,FALSE,none,multi_attitude,"[{""text"": ""צוחק יחד — לא רוצה להיות שופט"", ""score"": 1}, {""text"": ""שותק ומקווה שזה ייפסק"", ""score"": 2}, {""text"": ""מציין באופן אישי שזה לא הולם"", ""score"": 4}, {""text"": ""אומר מיד שזה לא בסדר — בפומבי"", ""score"": 5}]"
האם המשפחה הקרובה שלך יודעת על כמות האלכוהול שאתה צורך?,drugs,FALSE,none,multi_state,"[{""text"": ""לא שותה בכלל"", ""score"": 5}, {""text"": ""יודעים, וגם יודעים את הכמות המדויקת"", ""score"": 4}, {""text"": ""יודעים שאני שותה אבל לא יודעים כמה"", ""score"": 3}, {""text"": ""יודעים מעט מאוד — אני מסתיר את רוב הכמות"", ""score"": 2}, {""text"": ""לא יודעים שאני שותה בכלל"", ""score"": 1}]"
האם הקרובים אליך יודעים אם אתה משתמש בחומרים פסיכואקטיביים?,drugs,FALSE,none,multi_state,"[{""text"": ""לא משתמש בכלל"", ""score"": 5}, {""text"": ""יודעים ומודעים לכמות"", ""score"": 4}, {""text"": ""יודעים אבל לא יודעים כמה"", ""score"": 3}, {""text"": ""מסתיר מהם רוב המידע"", ""score"": 2}, {""text"": ""לא יודעים בכלל"", ""score"": 1}]"
האם המנהל הישיר שלך יודע על אירועים בעייתיים בעברך?,unethical,FALSE,none,multi_state,"[{""text"": ""אין אירועים בעייתיים בעברי"", ""score"": 5}, {""text"": ""יודע על הכל בפירוט"", ""score"": 4}, {""text"": ""יודע באופן כללי"", ""score"": 3}, {""text"": ""יודע רק חלק"", ""score"": 2}, {""text"": ""לא יודע על אף אחד"", ""score"": 1}]"
מי יודע על עבירות תנועה שעברת?,unethical,FALSE,none,multi_state,"[{""text"": ""אין לי עבירות תנועה"", ""score"": 5}, {""text"": ""כולם — לא מסתיר מאף אחד"", ""score"": 4}, {""text"": ""משפחה ובן/בת זוג"", ""score"": 3}, {""text"": ""רק חברים קרובים"", ""score"": 2}, {""text"": ""אף אחד"", ""score"": 1}]"
אם עברת על נהלים בעבודה — האם המנהל יודע?,procedures,FALSE,none,multi_state,"[{""text"": ""לא עברתי על נהלים"", ""score"": 5}, {""text"": ""דיווחתי בעצמי"", ""score"": 5}, {""text"": ""יודע — הוא תפס אותי"", ""score"": 3}, {""text"": ""יודע באופן חלקי"", ""score"": 2}, {""text"": ""לא יודע — הצלחתי להסתיר"", ""score"": 1}]"
האם בני המשפחה יודעים כשאתה מעשן (סיגריות / קנאביס)?,drugs,FALSE,none,multi_state,"[{""text"": ""לא מעשן כלל"", ""score"": 5}, {""text"": ""יודעים את הכמות המדויקת"", ""score"": 4}, {""text"": ""יודעים שאני מעשן אבל לא כמה"", ""score"": 3}, {""text"": ""יודעים על חלק"", ""score"": 2}, {""text"": ""לא יודעים"", ""score"": 1}]"
כמה פעמים השנה היית שיכור (קשה לעמוד/לדבר ברור)?,drugs,FALSE,none,quantity,"[{""text"": ""לא שותה אלכוהול"", ""score"": 5}, {""text"": ""0 פעמים"", ""score"": 5}, {""text"": ""1-2 פעמים"", ""score"": 4}, {""text"": ""3-5 פעמים"", ""score"": 3}, {""text"": ""6-10 פעמים"", ""score"": 2}, {""text"": ""יותר מ-10"", ""score"": 1}]"
כמה פעמים השנה הגעת לעבודה/לימודים בהשפעת אלכוהול?,drugs,FALSE,none,quantity,"[{""text"": ""לא שותה"", ""score"": 5}, {""text"": ""0 פעמים"", ""score"": 5}, {""text"": ""1-2 פעמים"", ""score"": 3}, {""text"": ""3-5 פעמים"", ""score"": 2}, {""text"": ""יותר מ-5"", ""score"": 1}]"
כמה פעמים השנה השתמשת בחומרים פסיכואקטיביים (גראס/קוקאין/וכו')?,drugs,FALSE,none,quantity,"[{""text"": ""לא משתמש כלל"", ""score"": 5}, {""text"": ""0 פעמים השנה"", ""score"": 5}, {""text"": ""1-3 פעמים"", ""score"": 4}, {""text"": ""4-10 פעמים"", ""score"": 3}, {""text"": ""11-30 פעמים"", ""score"": 2}, {""text"": ""יותר מ-30"", ""score"": 1}]"
כמה פעמים השנה הגעת לעבודה/לימודים בהשפעת חומרים פסיכואקטיביים?,drugs,FALSE,none,quantity,"[{""text"": ""לא משתמש"", ""score"": 5}, {""text"": ""0 פעמים"", ""score"": 5}, {""text"": ""1-2 פעמים"", ""score"": 3}, {""text"": ""3-5 פעמים"", ""score"": 2}, {""text"": ""יותר מ-5"", ""score"": 1}]"
