q,trait,reverse
לעיתים קרובות כשאני מנסה להשיג מטרה אני דוחף את עצמי קשה מאוד,Conscientiousness,FALSE
אני מרגיש חרדה כשאני צריך לדבר מול קהל,Emotionality,True
אני מאמין שכוח פוליטי חשוב יותר מאשר ערכים מוסריים.,Honesty-Humility,TRUE
אני מרגיש מלא מרץ כשאני צריך לעבוד תחת לחץ זמן כבד.,Extraversion,FALSE
אני נוטה להגיב בכעס כשמישהו מזלזל בעבודה שלי.,Agreeableness,TRUE
אני נוטה לדאוג לגבי דברים שאינם בשליטתי,Emotionality,True
אני מרגיש עצב כשאני נזכר באירועים קשים,Emotionality,False
אני תמיד משתדל לסיים משימות בזמן,Conscientiousness,False
אני נהנה לנסות גישות חדשות לפתרון בעיות ישנות.,Openness to Experience,FALSE
אני מרגיש שאין לי צורך להוכיח לאף אחד שאני חכם יותר ממנו.,Honesty-Humility,FALSE
אני נהנה לחקור תיאוריות מדעיות שטרם הוכחו סופית.,Openness to Experience,FALSE
אני נהנה לספר סיפורים וחוויות מול קבוצה של אנשים.,Extraversion,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני לובש בגדים חדשים.,Emotionality,FALSE
אני נוטה לדאוג למה שאחרים חושבים עליי,Emotionality,True
אני אוהב לנסות דברים לא שגרתיים,Openness,False
אני נוטה להרגיש פחד כשאני צריך לעבור במקומות חשוכים.,Emotionality,FALSE
אני כמעט ולא שומר טינה, גם נגד אנשים שעשו לי עוול קשה.,Agreeableness,FALSE
אני נהנה ללמוד על תגליות חדשות בתחום הרפואה והביולוגיה.,Openness to Experience,FALSE
אני אוהב להיות במרכז העניינים באירועים חברתיים.,Extraversion,FALSE
אני מרגיש אשמה אם אני לא אומר את כל האמת,Honesty-Humility,False
אני אוהב לפגוש אנשים ממגוון תרבויות,Extraversion,False
אני מרגיש משיכה לחוויות תרבותיות,Openness,False
אני נוטה להרגיש חרדה לפני אירועים חשובים,Emotionality,True
אני אוהב לדבר עם חבריי על מקרים תיאורטיים.,Openness to Experience,FALSE
אני נוטה לתכנן את זמני המנוחה שלי בדיוק כמו את זמני העבודה.,Conscientiousness,FALSE
אני תמיד בודק שכל הנתונים שבידי מדויקים לפני שאני מציג אותם.,Conscientiousness,FALSE
אני מרגיש צורך עז להיות חלק מקהילה תומכת.,Emotionality,FALSE
אני מרגיש חמלה רבה כלפי דרי רחוב.,Emotionality,FALSE
אני נוטה להזדהות עם אנשים שחווים קשיים,Emotionality,False
אני תמיד מוודא שהסביבה הסטרילית נשמרת בקפדנות יתרה.,Conscientiousness,FALSE
אני חושב שכל האנשים שווים, ללא קשר לתפקידם או עושרם.,Honesty-Humility,FALSE
אני נהנה ללמוד על הדרכים שבהן המוח מעבד מידע חזותי.,Openness to Experience,FALSE
אני נוטה להשתעמם מהר אם אין לי אתגרים חדשים.,Openness to Experience,FALSE
אני עובד טוב תחת לחץ.,Extraversion,FALSE
אני לעולם לא אנסה להרשים אחרים על ידי המצאת סיפורים שלא קרו.,Honesty-Humility,FALSE
אני מרגיש בטוח בעצמי כשאני מדבר עם זרים,Extraversion,False
אני אוהב לפגוש אנשים חדשים במסגרות שונות,Extraversion,False
אני מקפיד לבדוק את העבודה שלי פעמיים גם כשיש לחץ זמן.,Conscientiousness,FALSE
אני מרגיש רגוע ושלו גם כשאני נמצא תחת עומס עבודה כבד.,Emotionality,TRUE
אני מוצא את זה משעמם לנהל שיחות חולין עם זרים.,Extraversion,TRUE
אני נוטה לקחת ללב כישלונות מקצועיים, גם אם הם קטנים.,Emotionality,FALSE
אני מוצא את עצמי נלחץ מאוד כשאני צריך לקבל החלטה גורלית תחת לחץ.,Emotionality,FALSE
אני נהנה לחקור את ההיסטוריה של האדריכלות בעולם.,Openness to Experience,FALSE
אני מוכן לקבל ביקורת בונה מאחרים,Agreeableness,False
אני תמיד מכין לעצמי סדר יום כתוב בבוקר.,Conscientiousness,FALSE
אני לעולם לא אעמיד פנים שאני חבר של מישהו רק כדי לקבל ממנו טובה.,Honesty-Humility,FALSE
אני נהנה לחשוב על רעיונות פילוסופיים מופשטים.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה כשאני צריך לעבור בדיקה רפואית בעצמי.,Emotionality,FALSE
אני נוטה להישאר רגוע גם כשמישהו מתנהג אליי בחוסר סבלנות.,Agreeableness,FALSE
אני מרגיש צורך עז להגן על חלשים בחברה.,Emotionality,FALSE
אני מאמין שכללים נועדו עבור אנשים שאין להם שיקול דעת עצמאי.,Honesty-Humility,TRUE
כאשר אני עובד על משהו, אני לא מקדיש תשומת לב רבה מידי לפרטים קטנים.,Conscientiousness,TRUE
אני מעדיף לעבוד בסביבה שבה הכללים ברורים וקבועים מראש.,Conscientiousness,FALSE
כשיש דיון אני אוהב להוביל אותו.,Extraversion,FALSE
אני נוטה לדאוג לגבי המצב הכלכלי שלי גם כשיש לי מספיק כסף.,Emotionality,FALSE
אני נהנה להוביל פעילויות קבוצתיות,Extraversion,False
אני תמיד משתדל להיות גלוי לב לגבי חוסר הידע שלי בנושא מסוים.,Honesty-Humility,FALSE
אנשים לפעמים אומרים לי שאני ביקורתי מדי כלפי אחרים.,Agreeableness,TRUE
אני תמיד האדם שמציע לפתוח קבוצת וואטסאפ לתיאום.,Extraversion,FALSE
אני מרגיש בנוח לדבר על ההצלחות שלי מבלי להרגיש מובך.,Extraversion,FALSE
אני תמיד משתדל להגיע בזמן לפגישות,Conscientiousness,False
אני נוטה להרגיש סקרנות לגבי האופן שבו המוח האנושי פועל.,Openness to Experience,FALSE
אני נהנה לפתור בעיות לוגיות מורכבות בזמני הפנוי.,Openness to Experience,FALSE
אני נוטה להימנע מוויכוחים מיותרים,Agreeableness,False
אני מרגיש סיפוק רב כשאני מצליח לעזור למישהו לפתור בעיה אישית.,Emotionality,FALSE
אני מוצא את זה קל להתחבר לאנשים מרקע תרבותי שונה משלי.,Extraversion,FALSE
לא הייתי משתמש בחנופה כדי לקבל העלאה במשכורת או קידום.,Honesty-Humility,FALSE
אני מרגיש נוח לעבוד עם אנשים שונים ממני,Agreeableness,False
אני משתדל להקשיב לדעות של אחרים גם אם אני לא מסכים,Agreeableness,False
אני חושב שחשוב להשקיע זמן בלימוד אמנויות לחימה או הגנה עצמית.,Openness to Experience,FALSE
אני תמיד מחפש את הדרך המדויקת ביותר לבצע משימה, גם אם זה לוקח יותר זמן.,Conscientiousness,FALSE
אני מרגיש לעיתים קרובות צורך להגן על עצמי,Emotionality,True
אני מרגיש משיכה לשירה וספרות,Openness,False
אני נהנה לחקור את הקשר שבין דת למדע לאורך ההיסטוריה.,Openness to Experience,FALSE
אני מרגיש לא בנוח כשאני לא עומד ביעדים,Conscientiousness,True
אני נוטה להתווכח על דברים קטנים רק כדי להוכיח שאני צודק.,Agreeableness,TRUE
אני נוטה להסתיר את הרגשות שלי כדי לא להיראות חלש.,Emotionality,TRUE
אני מרגיש צורך לסיים משימות לפני שאני עובר הלאה,Conscientiousness,False
המדינה צריכה יותר לדאוג לאנשים משכבות חלשות.,Agreeableness,FALSE
אני מרגיש משיכה לאמנות ומוזיקה,Openness,False
אני נהנה לדון בנושאים מורכבים,Openness,False
אני חושב שזה מרתק ללמוד על החלל החיצון והגלקסיות.,Openness to Experience,FALSE
אני לעולם לא אבקש יחס מועדף בגלל התואר או התפקיד שלי.,Honesty-Humility,FALSE
אני מעדיף לבלות את זמני הפנוי עם חברים מאשר לבד בבית.,Extraversion,FALSE
אני נוטה לשכוח פרטים קטנים כשאני עובד על פרויקט גדול.,Conscientiousness,TRUE
אני נוטה להרגיש חסר ביטחון כשאני צריך לדבר בשפה שאינני שולט בה היטב.,Emotionality,FALSE
אני אוהב לפגוש אנשים חדשים באירועים,Extraversion,False
אני מרגיש נוח לעבוד עם אנשים שונים ממני,Agreeableness,False
אני נוטה להיות מסודר בסביבת העבודה שלי,Conscientiousness,False
אני תמיד מוודא שאנשים סביבי מרגישים בנוח ובטוח.,Agreeableness,FALSE
אני מרגיש אי נוחות כשאני צריך להשתמש בהשפעה שלי,Honesty-Humility,False
אני נוטה להישאר רגוע ונינוח גם כשמטופל מדבר אליי בחוסר סבלנות.,Agreeableness,FALSE
אני מרגיש אשמה אם אני לא משתף את האמת עם אחרים,Honesty-Humility,False
אני נהנה להיות במרכז האירועים,Extraversion,False
אני מרגיש נוח כשאני צריך להוביל שיחה,Extraversion,False
אני תמיד מוכן לוותר על הנוחות שלי למען השלווה בקבוצה.,Agreeableness,FALSE
אני לעולם לא אטען למומחיות בתחום שאינני שולט בו ב-100%.,Honesty-Humility,FALSE
אני מרגיש נוח לקבל דעות מנוגדות,Agreeableness,False
אני לא מנסה להשיג יתרונות על ידי הטעיית אנשים,Honesty-Humility,False
אני מעדיף לעבוד לפי פרוטוקולים נוקשים מאשר לאלתר פתרונות בשטח.,Conscientiousness,FALSE
אני מרגיש משיכה ליצירתיות ודמיון,Openness,False
אני אוהב להיות פעיל באירועים חברתיים,Extraversion,False
אני נוטה להרגיש חוסר נוחות כשאני נמצא בסיטואציה של חוסר ודאות.,Emotionality,FALSE
אני נהנה ללמוד שפות חדשות או להכיר תרבויות שונות.,Openness to Experience,FALSE
אני מוצא את עצמי מתעצבן מהר כשאנשים מדברים לאט מדי.,Agreeableness,TRUE
אני נהנה להיות במרכז העניינים כשיש מסיבה או חגיגה.,Extraversion,FALSE
אני מאמין שיושרה חשובה יותר מקידום מהיר בעבודה.,Honesty-Humility,FALSE
אני מרגיש צורך לעמוד בסטנדרטים גבוהים,Conscientiousness,False
אני נוטה לעבוד בצורה מבולגנת כשאני נמצא תחת לחץ.,Conscientiousness,TRUE
אני תמיד בודק שהדלת נעולה כמה פעמים לפני שאני הולך לישון.,Conscientiousness,FALSE
אני תמיד מקפיד לבדוק את הוראות היצרן לפני שאני משתמש במכשיר רפואי חדש.,Conscientiousness,FALSE
אני סקרן לגבי פילוסופיה,Openness,False
אני מוצא את זה קשה להישאר אדיב כלפי אנשים שמתנהגים בטיפשות.,Agreeableness,TRUE
אני מרגיש סיפוק כשאני יודע שאנשים רואים בי סמכות מקצועית.,Extraversion,FALSE
אני תמיד משתדל להיות הוגן גם כשאף אחד לא מסתכל,Honesty-Humility,False
אני אוהב ליצור דברים חדשים,Openness,False
אם אדע שלעולם לא יתפסו אותי, הייתי מוכן לגנוב מיליון דולר,Honesty-Humility,TRUE
אני לא משתמש במחמאות כדי לגרום לאנשים לעשות מה שאני רוצה,Honesty-Humility,False
אני תמיד מקפיד לסיים את הדיווחים שלי לפני שאני עוזב את העבודה.,Conscientiousness,FALSE
אני מוצא את זה קשה לסלוח לאנשים שפגעו ברגשותיי בכוונה.,Agreeableness,TRUE
אני נוטה להרגיש חוסר ביטחון כשאני צריך להוביל פרויקט חדשני.,Emotionality,FALSE
אני תמיד מכין תוכנית חלופית (תוכנית ב') למקרה שמשהו ישתבש.,Conscientiousness,FALSE
אני לא מרגיש צורך להראות שאני טוב יותר מאחרים,Honesty-Humility,False
אנשים לפעמים אומרים לי שאני עקשן מדי.,Agreeableness,TRUE
אני סקרן לגבי איך אנשים חושבים,Openness,False
אני אוהב לפגוש אנשים חדשים,Extraversion,False
אני מרגיש בנוח לדבר עם זרים,Extraversion,False
אני מרגיש חמלה רבה כלפי אנשים שנמצאים במצוקה נפשית.,Emotionality,FALSE
הייתי מרגיש מפוחד אם הייתי צריך לנסוע בתנאי מזג אוויר גרועים.,Emotionality,FALSE
אני נוטה להימנע מלהאשים אחרים כשדברים משתבשים,Agreeableness,False
אני מעדיף להיות פשוט מאשר להתנהג כאילו אני חשוב,Honesty-Humility,False
אני נוטה לאבד את הריכוז כשהמשימה הופכת למונוטונית.,Conscientiousness,TRUE
אני חושב שזה מרתק ללמוד על הדרך שבה תרבויות עתיקות חיו.,Openness to Experience,FALSE
אני נהנה להיות במרכז תשומת הלב,Extraversion,False
אני לעולם לא אשתמש בקשרים אישיים כדי לקבל יחס מועדף.,Honesty-Humility,FALSE
אני מוצא את זה קל מאוד לשכוח פגיעות ישנות ולהמשיך הלאה.,Agreeableness,FALSE
אני מקפיד להתעדכן בנהלים החדשים של משרד הבריאות מדי שבוע.,Conscientiousness,FALSE
אני נהנה לארגן אירועים חברתיים עבור החברים שלי.,Extraversion,FALSE
אני אוהב לחשוב על פתרונות יצירתיים,Openness,False
אני בדרך כלל האדם הראשון שמברך אנשים חדשים בחדר.,Extraversion,FALSE
אני מרגיש צורך להיות קרוב לאנשים שאני אוהב,Emotionality,False
אני תמיד מחפש סרטים שגורמים לי לחשוב עליהם ימים רבים אחרי הצפייה.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי איכות הסביבה והשפעתה על הדורות הבאים.,Emotionality,FALSE
אני מעדיף להיות צנוע מאשר להתרברב בהצלחותיי,Honesty-Humility,False
אני מוכן לעזור לאנשים שזקוקים לתמיכה,Agreeableness,False
אני נהנה לנסות פתרונות טכנולוגיים שנועדו להקל על החיים.,Openness to Experience,FALSE
אני מרגיש צורך להשלים משימות בצורה מושלמת,Conscientiousness,False
אני מרגיש נוח לשתף פעולה עם צוות,Agreeableness,False
אני תמיד משתדל לראות את הטוב בכל אדם, גם אם הוא קשה.,Agreeableness,FALSE
אני תמיד מחפש דרכים חדשות לייעל את צורת העבודה שלי.,Openness to Experience,FALSE
אני מוצא עניין רב בהקשבה לסיפורי החיים האישיים של המטופלים שלי.,Agreeableness,FALSE
אני חושב שזה לגיטימי להשתמש בקשרים אישיים כדי לעקוף את התור.,Honesty-Humility,TRUE
אני מרגיש צורך להיות מחובר לאנשים שאני אוהב,Emotionality,False
אני מרגיש בטוח בעצמי במצבים חברתיים,Extraversion,False
אני תמיד מוודא שביצעתי את המטלות שלי בצורה הטובה ביותר.,Conscientiousness,FALSE
אני חושש לנסוע במצבי מזג אוויר קיצוני,Emotionality,FALSE
אני נהנה ללמוד על מבנה המוח האנושי ופעולתו.,Openness to Experience,FALSE
אני תמיד משתדל להחזיר חובות בזמן,Honesty-Humility,False
אני תמיד שומר על קור רוח, גם כשהתוכניות משתבשות ברגע האחרון.,Agreeableness,FALSE
אני אוהב אנשים שיש להם תפיסות ודעות לא שגרתיות.,Openness to Experience,FALSE
אני מרגיש שהחובה המוסרית שלי היא לשים את טובת האחר לפני טובתי.,Honesty-Humility,FALSE
אני מוצא את זה קל מאוד לסלוח לאנשים שפגעו בי בעבר.,Agreeableness,FALSE
אני נהנה לנסות תחביבים חדשים ושונים בכל פעם.,Openness to Experience,FALSE
אני מרגיש מרוקן מאנרגיה אחרי אינטראקציה חברתית ממושכת.,Extraversion,TRUE
אני נוטה לדאוג לבריאותי,Emotionality,True
אני אף פעם לא באמת נהניתי לחפש מידע בתוך אנציקלופדיה.,Openness to Experience,TRUE
אני תמיד מחפש לקרוא מחקרים חדשים כדי לעדכן את שיטות העבודה שלי.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר ביטחון לגבי המראה החיצוני שלי.,Emotionality,FALSE
אני מרגיש צורך עז לשוחח עם מישהו כשאני עובר יום קשה.,Emotionality,FALSE
אני נהנה ללמוד על האופן שבו הבינה המלאכותית משפיעה על הרפואה.,Openness to Experience,FALSE
אני מוצא את זה קל להישאר נחמד גם לאנשים שאני לא מחבב.,Agreeableness,FALSE
אני מרגיש רגש עז כשאני קורא סיפור על גבורה אנושית.,Emotionality,FALSE
אני נוטה לבדוק את לחץ האוויר בגלגלים באופן קבוע.,Conscientiousness,FALSE
אני מרגיש בנוח לשתף אחרים בחוויות האישיות שלי.,Extraversion,FALSE
אני משתדל לתכנן את זמני בצורה יעילה,Conscientiousness,False
אני מרגיש אמפתיה רבה כלפי אנשים שחווים בדידות.,Emotionality,FALSE
אני מרגיש שכל אדם ללא קשר לעושרו ראוי לאותו זמן תשומת לב ממני.,Honesty-Humility,FALSE
אני מעדיף מקומות עבודה רועשים ותוססים על פני משרדים שקטים.,Extraversion,FALSE
אני לעולם לא אשתמש במידע אישי שקיבלתי כדי להתקדם על חשבון אחרים.,Honesty-Humility,FALSE
אני מרגיש לא בנוח כשאני מקבל מחמאות שאיני ראוי להן,Honesty-Humility,False
אני תמיד מחפש הזדמנויות לחוות חוויות רגשיות עוצמתיות.,Emotionality,FALSE
אני מרגיש צורך עז להגן על אנשים שמתייחסים אליהם בחוסר צדק.,Agreeableness,FALSE
אני מקבל החלטות על סמך התחושה של הרגע ולא על בסיס מחשבה זהירה.,Conscientiousness,TRUE
אני מרגיש אנרגטי כשאני נמצא עם אנשים,Extraversion,False
כשאני רואה סרט עצוב, אני לעיתים קרובות מוצא את עצמי דומע.,Emotionality,FALSE
אני לא מרגיש בנוח כשאני צריך לשבח את עצמי,Honesty-Humility,False
אני סקרן לגבי דעות שונות משלי,Openness,False
אני מרגיש סיפוק רב כשאני מצליח לארגן לוח זמנים מורכב בצורה מושלמת.,Conscientiousness,FALSE
לעולם לא אשקר כדי להשיג יתרון על פני אחרים,Honesty-Humility,False
אני מרגיש לא בנוח כשאנשים מחמיאים לי יותר מדי.,Honesty-Humility,FALSE
אני תמיד מתכנן את סדר הפעולות שלי לפני תחילת המשמרת.,Conscientiousness,FALSE
אני מעדיף לעבוד לבד מאשר לשתף פעולה עם קבוצה.,Extraversion,TRUE
אני לא מנסה לנצל את טוב הלב של אחרים,Honesty-Humility,False
אני מעדיף להיות כן גם אם זה עלול לעלות לי ביוקר,Honesty-Humility,False
אני מרגיש בנוח לעזור לאנשים גם אם זה לא נוח לי,Agreeableness,False
אני נוטה להרגיש אשמה כשאני לא עומד בציפיות של עצמי.,Emotionality,FALSE
אני מרגיש סיפוק רב כשאני מצליח לנחם אדם שבוכה.,Emotionality,FALSE
אני נהנה להיות המנהיג בקבוצה,Extraversion,False
אני משתדל להיות הוגן גם כשאני כועס,Agreeableness,False
אני חושב שזה בסדר לקבל מתנות יקרות בתמורה לטובות הנאה קטנות.,Honesty-Humility,TRUE
אני תמיד מקפיד לתעד כל פעולה רפואית מיד לאחר ביצועה.,Conscientiousness,FALSE
אני נהנה לנסות מאכלים חדשים ומשונים שלא טעמתי מעולם.,Openness to Experience,FALSE
אני אוהב יעדים אקזוטיים,Openness to Experience,FALSE
אני מרגיש מחויבות לדווח על טעות שעשיתי, גם אם אף אחד לא הבחין בה.,Honesty-Humility,FALSE
אני מושפע בקלות מהרגשות של אנשים אחרים,Emotionality,False
אני נוטה ליזום שיתופי פעולה עם מחלקות אחרות בבית החולים.,Extraversion,FALSE
אני נוטה לראות את חצי הכוס המלאה בכל סיטואציה קשה.,Extraversion,FALSE
אני מרגיש אי נוחות כשאני צריך לקבל מתנות יקרות,Honesty-Humility,False
אני נוטה להרגיש חרדה לפני מפגשים חברתיים,Emotionality,True
אני נוטה להימנע מוויכוחים חסרי משמעות,Agreeableness,False
המדינה צריכה יותר לדאוג לאנשים משכבות חלשות,Agreeableness,FALSE
אני נהנה לחקור את ההשפעה של טכנולוגיה על יחסים חברתיים.,Openness to Experience,FALSE
אני תמיד מקפיד לסיים את העבודה שלי לפני שאני יוצא להפסקה.,Conscientiousness,FALSE
אני די אשתעמם מביקור בגלריה לאומנות.,Openness to Experience,TRUE
אני נותן אמון במה שאנשים אומרים.,Agreeableness,FALSE
אני מאמין שיושרה פנימית היא המצפן הכי חשוב של רופא במצבי לחץ.,Honesty-Humility,FALSE
אני תמיד מנסה למצוא את הדרך היעילה ביותר לביצוע פעולות יומיומיות.,Conscientiousness,FALSE
אני נהנה לפתור חידות ומשחקי היגיון בזמני הפנוי.,Openness to Experience,FALSE
אני נוטה להיות מאורגן בחיי היומיום,Conscientiousness,False
אני מרגיש גאווה גדולה כשאני עושה עבודה מושלמת ללא שום פגם.,Conscientiousness,FALSE
אני תמיד מקפיד לתת קרדיט מלא לכל מי שעזר לי במחקר או בטיפול.,Honesty-Humility,FALSE
אני חושב שזה בזבוז זמן לדבוק בשיטות עבודה ישנות רק בשל המסורת.,Openness to Experience,FALSE
באופן כללי אני מרגיש מרוצה למדי מעצמי.,Extraversion,FALSE
כשאני נתקל בבעיה מורכבת, אני נהנה לנסות למצוא פתרון יצירתי.,Openness to Experience,FALSE
אני מרגיש אנרגטי כשאני משתתף במסיבות,Extraversion,False
אני תמיד מנסה להכניס אנרגיה חיובית לחדר האוכל של הצוות.,Extraversion,FALSE
אני נוטה לתכנן את המשימות שלי מראש,Conscientiousness,False
אני מרגיש שכל חבר בצוות, מהמנקה ועד המנהל, ראוי לאותו כבוד.,Honesty-Humility,FALSE
אני מקפיד לעבור על כל התיק הרפואי של המטופל לפני הפגישה.,Conscientiousness,FALSE
אני מרגיש רגש עז של הכרת תודה כלפי אנשים שעוזרים לי.,Emotionality,FALSE
אני נוטה להשאיר משימות קשות לרגע האחרון.,Conscientiousness,TRUE
אני תמיד מוודא שכל הכלים בהם השתמשתי חזרו למקומם.,Conscientiousness,FALSE
קל לי מאוד להתאושש מכישלונות ולהמשיך הלאה.,Emotionality,TRUE
אני נוטה להרגיש אשמה גם כשאני לא אשם,Emotionality,True
אני מרגיש בודד מאוד כשאני לא נמצא בקשר רציף עם אנשים.,Extraversion,FALSE
אני חושב שצניעות עוזרת לאדם ללמוד ולהשתפר לאורך זמן.,Honesty-Humility,FALSE
אני משתדל שלא להעביר ביקורת על אנשים ליד אחרים.,Agreeableness,FALSE
אני מרגיש סיפוק רב כשאני מצליח להסביר נושא מורכב למטופל בצורה פשוטה.,Agreeableness,FALSE
אני תמיד מרגיש בטוח ביכולת שלי לשכנע אחרים בצדקת דרכי.,Extraversion,FALSE
אני נהנה לדון ברעיונות מופשטים,Openness,False
אני תמיד משתדל לעמוד בהתחייבויות שלי,Conscientiousness,False
אני נהנה להיות זה שמארגן את היציאות החברתיות של הצוות.,Extraversion,FALSE
אני מוכן לסלוח לאנשים שפגעו בי,Agreeableness,False
אני נוטה להרגיש פחד במצבים לא מוכרים,Emotionality,True
אני נוטה לדחות החלטות חשובות כי אני מפחד לטעות.,Emotionality,FALSE
אני מאמין שכבוד למטופל הוא בסיס הכרחי לכל טיפול מוצלח.,Honesty-Humility,FALSE
אני תמיד פתוח לשינויים מרחיקי לכת בשיטות העבודה המקובלות.,Openness to Experience,FALSE
אני נוטה להיות מאוד ביקורתי כלפי אנשים שעושים טעויות רבות.,Agreeableness,TRUE
אני נהנה לפתור תשבצים או חידות לוגיות קשות.,Openness to Experience,FALSE
אני מרגיש נוח כשאני צריך להתחיל שיחה,Extraversion,False
